5182,912 0,265979527320901
5183,2993 0,256780350685843
5183,6866 0,246734538720093
5184,074 0,241710680804129
5184,4615 0,238604207101969
5184,8491 0,234597601618694
5185,2368 0,226249667374363
5185,6246 0,221543815379308
5186,0125 0,216224753246649
5186,4004 0,216732788107844
5186,7885 0,210968278871073
5187,1766 0,204032618692716
5187,5649 0,201251765954618
5187,9532 0,199355965112849
5188,3416 0,834063859736129
5188,7301 0,986020660491519
5189,1187 1,14823801974628
5189,5074 1,20948874450833
5189,8962 1,18901362721045
5190,2851 1,1769830923861
5190,674 1,12511044668917
5191,0631 1,07414007940265
5191,4522 1,0030978373405
5191,8414 0,965691144357379
5192,2308 0,943798074579117
5192,6202 0,955781875918225
5193,0097 0,982934097670399
5193,3993 0,990301087505168
5193,789 1,01147631900866
5194,1787 1,02932408963396
5194,5686 1,0066483814636
5194,9586 0,982079150790976
5195,3486 0,958650938281645
5195,7387 0,980142934998172
5196,129 0,968227444261241
5196,5193 0,98987942174641
5196,9097 0,997607278398876
5197,3002 0,996298823987578
5197,6908 1,01824614544765
5198,0814 0,998363827892594
5198,4722 1,00526922885166
5198,8631 1,02452632241848
5199,254 1,0179989924552
5199,6451 1,01015019216714
5200,0362 1,01667146105095
5200,4274 1,00357988172966
5200,8187 0,951141063341687
5201,2101 0,918832912422324
5201,6016 0,903767004923243
5201,9932 0,928980741366732
5202,3849 0,929795703468118
5202,7766 0,916205189360623
5203,1685 0,891734946349552
5203,5604 0,868112417211852
5203,9524 0,842317642151795
5204,3446 0,806313781284465
5204,7368 0,759829252046615
5205,1291 0,738991069288511
5205,5215 0,74227379680137
5205,9139 0,748401229891824
5206,3065 0,747218473797561
5206,6992 0,745571379629465
5207,0919 0,737111824299356
5207,4848 0,715601941810135
5207,8777 0,721170094480522
5208,2707 0,71590896075178
5208,6638 0,71420675629505
5209,057 0,728224896744528
5209,4503 0,743924765725775
5209,8437 0,772208188536958
5210,2372 0,806497439251043
5210,6307 0,835014988106787
5211,0244 0,845130075896998
5211,4181 0,87522340630587
5211,8119 0,888083245425312
5212,2058 0,892699169588579
5212,5999 0,889083296123886
5212,994 0,904412501031902
5213,3881 0,879281381299594
5213,7824 0,867267184500572
5214,1768 0,846926419018544
5214,5712 0,811078033843124
5214,9658 0,794783357434433
5215,3604 0,77183223454741
5215,7551 0,762063899113587
5216,15 0,773479055728244
5216,5449 0,762852211113365
5216,9399 0,796817942892721
5217,3349 0,792896124139292
5217,7301 0,810789385137772
5218,1254 0,834462512961795
5218,5207 0,841828559717435
5218,9162 0,847949105339809
5219,3117 0,864167607827361
5219,7073 0,862103904425794
5220,103 0,874757955701037
5220,4988 0,859458472405092
5220,8947 0,870000878944551
5221,2907 0,863860056043052
5221,6868 0,841302261530198
5222,0829 0,846045705166532
5222,4792 0,832907213011782
5222,8755 0,818343807367494
5223,272 0,799103032436038
5223,6685 0,782417432386996
5224,0651 0,740785624213145
5224,4618 0,72510260001658
5224,8586 0,700033606819806
5225,2554 0,668970864893329
5225,6524 0,635237119875801
5226,0494 0,62496919591879
5226,4466 0,617136222758375
5226,8438 0,627665157803296
5227,2411 0,652557683096248
5227,6385 0,672825215559729
5228,036 0,716615015928854
5228,4336 0,743793701848747
5228,8313 0,756669568318798
5229,2291 0,763473712468367
5229,6269 0,784591838973842
5230,0249 0,786707149874068
5230,4229 0,790016812120704
5230,821 0,786968781273639
5231,2192 0,772227597257781
5231,6175 0,753296210863389
5232,0159 0,722022394733977
5232,4144 0,706072403863292
5232,813 0,700626403385222
5233,2116 0,703803444919965
5233,6104 0,708064327521383
5234,0092 0,732645228087107
5234,4081 0,751045193504441
5234,8072 0,767008978257722
5235,2063 0,785649867370788
5235,6054 0,782369574399006
5236,0047 0,802005042745726
5236,4041 0,813707220941592
